id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
3004,HIP 4845 b,69,14.4 Earths,10.06,2020
3005,HIP 48714 b,34,22.9 Earths,8.99,2020
3006,HIP 5158 b,168,1.42 Jupiters,10.16,2009
3007,HIP 5158 c,168,15.04 Jupiters,10.16,2011
3008,HIP 54373 b,61,8.62 Earths,10.38,2019
3009,HIP 54373 c,61,12.44 Earths,10.38,2019
3010,HIP 54597 b,130,2.4 Jupiters,9.83,2023
3011,HIP 55507 b,83,8.135 Jupiters,9.8,2022
3012,HIP 56640 b,399,6.77 Jupiters,7.94,2021
3013,HIP 57274 b,84,6.3566 Earths,8.97,2011
3014,HIP 57274 c,84,0.40902 Jupiters,8.97,2011
3015,HIP 57274 d,84,0.5267 Jupiters,8.97,2011
3016,HIP 5763 b,104,0.51 Jupiters,9.82,2021
3017,HIP 63242 b,510,9.18 Jupiters,6.86,2013
3018,HIP 65407 b,202,0.428 Jupiters,9.38,2016
3019,HIP 65407 c,202,0.784 Jupiters,9.38,2016
3020,HIP 65426 b,355,9 Jupiters,7.01,2017
3021,HIP 65891 b,490,5.888 Jupiters,6.75,2015
3022,HIP 65 A b,202,3.213 Jupiters,11,2020
3023,HIP 66074 b,116,5 Jupiters,10.25,2023
3024,HIP 67522 b,415,0.228 Jupiters,9.79,2020
3025,HIP 67537 b,379,13.558 Jupiters,6.43,2017
3026,HIP 67851 b,209,1.568 Jupiters,6.17,2015
3027,HIP 67851 c,209,6.937 Jupiters,6.17,2015
3028,HIP 70849 b,78,4.5 Jupiters,10.421,2009
3029,HIP 71135 b,105,18.8 Earths,10.53,2019
3030,HIP 74890 b,257,2.4 Jupiters,7.05,2016
3031,HIP 75056 A b,408,25 Jupiters,7.78,2021
3032,HIP 75092 b,266,1.79 Jupiters,7.11,2021
3033,HIP 78530 b,446,23 Jupiters,7.1691,2010
3034,HIP 79098 AB b,476,20.5 Jupiters,5.86,2019
3035,HIP 79431 b,47,2.1 Jupiters,11.394,2009
3036,HIP 81208 C b,481,14.8 Jupiters,,2023
3037,HIP 8541 b,506,7.714 Jupiters,7.88,2016
3038,HIP 86221 b,96,0.71 Jupiters,9.25,2021
3039,HIP 90988 b,307,2.102 Jupiters,7.75,2021
3040,HIP 91258 b,150,1.09 Jupiters,8.65,2013
3041,HIP 94235 b,191,1.19247 Jupiters,8.31,2022
3042,HIP 948 b,114,20.6 Jupiters,9.92,2022
3043,HIP 9618 b,220,10 Earths,9.2,2023
3044,HIP 9618 c,220,18.3 Earths,9.2,2023
3045,HIP 97166 b,215,20 Earths,9.92,2021
3046,HIP 97166 c,215,9.9 Earths,9.92,2021
3047,HIP 97233 b,334,19.187 Jupiters,7.34,2014
3048,HIP 99770 b,131,16.1 Jupiters,4.94292,2023
3049,HN Librae b,20,5.46 Earths,11.311,2023
3050,K2-111 b,654,5.58 Earths,11.13,2017
3051,K2-111 c,654,11.08 Earths,11.13,2020
3052,K2-113 b,2074,1.29 Jupiters,13.744,2017
3053,K2-114 b,1552,2.01 Jupiters,14.55,2017
3054,K2-115 b,1349,0.84 Jupiters,13.444,2017
3055,K2-116 b,161,0.257 Earths,10.8,2017
3056,K2-117 b,332,4.78 Earths,14.639,2017
3057,K2-117 c,332,4.9 Earths,14.639,2017
3058,K2-118 b,1049,6.99 Earths,14,2017
3059,K2-119 b,1193,6.94 Earths,14.818,2017
3060,K2-11 b,1074,0.14 Jupiters,13.409,2015
3061,K2-120 b,944,4.7 Earths,14.092,2017
3062,K2-121 b,553,0.139 Jupiters,13.229,2017
3063,K2-122 b,235,1.65 Earths,13.105,2017
3064,K2-123 b,527,8.05 Earths,14.781,2017
3065,K2-124 b,458,8.75 Earths,16.692,2017
3066,K2-125 b,405,5.39 Earths,16.4,2017
3067,K2-126 b,336,4.54 Earths,12.759,2017
3068,K2-127 b,2316,0.167 Jupiters,15.041,2017
3069,K2-128 b,374,2.6 Earths,12.58,2017
3070,K2-129 b,91,1.12 Earths,13.639,2017
3071,K2-12 b,1065,5.2 Earths,12.38,2015
3072,K2-130 b,385,2.1 Earths,12.676,2017
3073,K2-131 b,497,7.9 Earths,12.129,2017
3074,K2-132 b,1989,0.49 Jupiters,12.071,2017
3075,HN Pegasi b,59,21.9987 Jupiters,5.942,2006
3076,HR 2562 b,111,30 Jupiters,6.11,2016
3077,HR 5183 b,103,3.31 Jupiters,6.33432,2019
3078,HR 810 b,56,2.27 Jupiters,5.395,1999
3079,HR 858 b,104,5 Earths,6.38,2019
3080,HR 858 c,104,4.42 Earths,6.38,2019
3081,HR 858 d,104,5.32 Earths,6.38,2019
3082,HR 8799 b,135,7 Jupiters,5.98,2008
3083,HR 8799 c,135,10 Jupiters,5.98,2008
3084,HR 8799 d,135,10 Jupiters,5.98,2008
3085,HR 8799 e,135,10 Jupiters,5.98,2010
3086,HU Aquarii AB b,627,5.9 Jupiters,16.183,2011
3087,HU Aquarii AB c,627,4.5 Jupiters,16.183,2011
3088,IC 4651 9122 b,2803,6.3 Jupiters,10.909,2018
3089,Iota Draconis b,102,11.82 Jupiters,3.29668,2002
3090,Iota Draconis c,102,15.6 Jupiters,3.29668,2022
3091,K2-100 b,616,21.8 Earths,10.651,2016
3092,K2-101 b,614,4.66 Earths,12.892,2016
3093,K2-102 b,614,2.24 Earths,13.083,2016
3094,K2-104 b,617,3.86 Earths,15.989,2016
3095,K2-105 b,646,30 Earths,11.752,2017
3096,K2-107 b,2235,0.84 Jupiters,13.012,2017
3097,K2-108 b,1557,0.18689 Jupiters,12.339,2017
3098,K2-10 b,888,27 Earths,12.429,2015
3099,K2-110 b,380,15.9 Earths,11.985,2017
3100,K2-149 b,403,3.33 Earths,14.543,2018
3101,K2-14 b,1188,20.7 Earths,15.78,2015
3102,K2-150 b,334,4.66 Earths,15.784,2018
3103,K2-151 b,227,2.83 Earths,14.175,2018
3104,K2-152 b,354,5.86 Earths,13.728,2018
3105,K2-153 b,467,4.66 Earths,14.96,2018
3106,K2-154 b,422,4.62 Earths,13.861,2018
3107,K2-154 c,422,4.94 Earths,13.861,2018
3108,K2-155 b,237,3.89 Earths,12.773,2018
3109,K2-155 c,237,7.27 Earths,12.773,2018
3110,K2-155 d,237,4.27 Earths,12.773,2018
3111,K2-156 b,490,1.37 Earths,13.4,2018
3112,K2-157 b,973,0.972 Earths,12.942,2018
3113,K2-158 b,644,7.46 Earths,11.774,2018
3114,K2-158 c,644,2.18 Earths,11.774,2018
3115,K2-159 b,558,5.73 Earths,11.995,2018
3116,K2-15 b,1611,6.71 Earths,14.758,2015
3117,K2-160 b,1029,10.2 Earths,12.838,2018
3118,K2-161 b,2989,31.1 Earths,12.718,2018
3119,K2-162 b,406,2.67 Earths,12.278,2018
3120,K2-163 b,680,6.65 Earths,13.078,2018
3121,K2-164 b,1225,10.6 Earths,11.352,2018
3122,K2-165 b,439,2.17 Earths,11.332,2018
3123,K2-165 c,439,3.03 Earths,11.332,2018
3124,K2-165 d,439,7.5 Earths,11.332,2018
3125,K2-149 b,403,3.33 Earths,14.543,2018
3126,K2-14 b,1188,20.7 Earths,15.78,2015
3127,K2-150 b,334,4.66 Earths,15.784,2018
3128,K2-151 b,227,2.83 Earths,14.175,2018
3129,K2-152 b,354,5.86 Earths,13.728,2018
3130,K2-153 b,467,4.66 Earths,14.96,2018
3131,K2-154 b,422,4.62 Earths,13.861,2018
3132,K2-154 c,422,4.94 Earths,13.861,2018
3133,K2-155 b,237,3.89 Earths,12.773,2018
3134,K2-155 c,237,7.27 Earths,12.773,2018
3135,K2-155 d,237,4.27 Earths,12.773,2018
3136,K2-156 b,490,1.37 Earths,13.4,2018
3137,K2-157 b,973,0.972 Earths,12.942,2018
3138,K2-158 b,644,7.46 Earths,11.774,2018
3139,K2-158 c,644,2.18 Earths,11.774,2018
3140,K2-159 b,558,5.73 Earths,11.995,2018
3141,K2-15 b,1611,6.71 Earths,14.758,2015
3142,K2-160 b,1029,10.2 Earths,12.838,2018
3143,K2-161 b,2989,31.1 Earths,12.718,2018
3144,K2-162 b,406,2.67 Earths,12.278,2018
3145,K2-163 b,680,6.65 Earths,13.078,2018
3146,K2-164 b,1225,10.6 Earths,11.352,2018
3147,K2-165 b,439,2.17 Earths,11.332,2018
3148,K2-165 c,439,3.03 Earths,11.332,2018
3149,K2-165 d,439,7.5 Earths,11.332,2018
3150,K2-166 b,1556,5.43 Earths,12.081,2018
3151,K2-167 b,264,6.5 Earths,8.24,2018
3152,K2-168 b,796,4.12 Earths,12.365,2018
3153,K2-169 b,769,2.16 Earths,12.23,2018
3154,K2-16 b,1093,4.74 Earths,14.668,2015
3155,K2-16 c,1093,6.99 Earths,14.668,2015
3156,K2-170 b,1282,2.6 Earths,12.668,2018
3157,K2-170 c,1282,3.9 Earths,12.668,2018
3158,K2-171 b,1977,7.69 Earths,12.745,2018
3159,K2-172 b,815,3.42 Earths,12.5,2018
3160,K2-172 c,815,10.4 Earths,12.5,2018
3161,K2-173 b,746,3.22 Earths,12.523,2018
3162,K2-174 b,326,7.27 Earths,12.456,2018
3163,K2-175 b,807,4.81 Earths,10.836,2018
3164,K2-176 b,807,2.83 Earths,12.909,2018
3165,K2-177 b,1605,5.13 Earths,12.681,2018
3166,K2-178 b,701,12.4 Earths,12.382,2018
3167,K2-179 b,622,6.86 Earths,12.939,2018
3168,K2-17 b,408,5.6 Earths,13.411,2015
3169,K2-180 b,665,11.44182 Earths,12.557,2018
3170,K2-181 b,1177,8.45 Earths,12.669,2018
3171,K2-182 b,505,20 Earths,11.833,2018
3172,K2-183 b,1073,1.37 Earths,12.867,2018
3173,K2-183 c,1073,5.9 Earths,12.867,2018
3174,K2-183 d,1073,5.9 Earths,12.867,2018
3175,K2-166 b,1556,5.43 Earths,12.081,2018
3176,K2-167 b,264,6.5 Earths,8.24,2018
3177,K2-168 b,796,4.12 Earths,12.365,2018
3178,K2-169 b,769,2.16 Earths,12.23,2018
3179,K2-16 b,1093,4.74 Earths,14.668,2015
3180,K2-16 c,1093,6.99 Earths,14.668,2015
3181,K2-170 b,1282,2.6 Earths,12.668,2018
3182,K2-170 c,1282,3.9 Earths,12.668,2018
3183,K2-171 b,1977,7.69 Earths,12.745,2018
3184,K2-172 b,815,3.42 Earths,12.5,2018
3185,K2-172 c,815,10.4 Earths,12.5,2018
3186,K2-173 b,746,3.22 Earths,12.523,2018
3187,K2-174 b,326,7.27 Earths,12.456,2018
3188,K2-175 b,807,4.81 Earths,10.836,2018
3189,K2-176 b,807,2.83 Earths,12.909,2018
3190,K2-177 b,1605,5.13 Earths,12.681,2018
3191,K2-178 b,701,12.4 Earths,12.382,2018
3192,K2-179 b,622,6.86 Earths,12.939,2018
3193,K2-17 b,408,5.6 Earths,13.411,2015
3194,K2-180 b,665,11.44182 Earths,12.557,2018
3195,K2-181 b,1177,8.45 Earths,12.669,2018
3196,K2-182 b,505,20 Earths,11.833,2018
3197,K2-183 b,1073,1.37 Earths,12.867,2018
3198,K2-183 c,1073,5.9 Earths,12.867,2018
3199,K2-183 d,1073,5.9 Earths,12.867,2018
3200,K2-166 b,1556,5.43 Earths,12.081,2018
3201,K2-167 b,264,6.5 Earths,8.24,2018
3202,K2-168 b,796,4.12 Earths,12.365,2018
3203,K2-169 b,769,2.16 Earths,12.23,2018
3204,K2-16 b,1093,4.74 Earths,14.668,2015
3205,K2-16 c,1093,6.99 Earths,14.668,2015
3206,K2-170 b,1282,2.6 Earths,12.668,2018
3207,K2-170 c,1282,3.9 Earths,12.668,2018
3208,K2-171 b,1977,7.69 Earths,12.745,2018
3209,K2-172 b,815,3.42 Earths,12.5,2018
3210,K2-172 c,815,10.4 Earths,12.5,2018
3211,K2-173 b,746,3.22 Earths,12.523,2018
3212,K2-174 b,326,7.27 Earths,12.456,2018
3213,K2-175 b,807,4.81 Earths,10.836,2018
3214,K2-176 b,807,2.83 Earths,12.909,2018
3215,K2-177 b,1605,5.13 Earths,12.681,2018
3216,K2-178 b,701,12.4 Earths,12.382,2018
3217,K2-179 b,622,6.86 Earths,12.939,2018
3218,K2-17 b,408,5.6 Earths,13.411,2015
3219,K2-180 b,665,11.44182 Earths,12.557,2018
3220,K2-181 b,1177,8.45 Earths,12.669,2018
3221,K2-182 b,505,20 Earths,11.833,2018
3222,K2-183 b,1073,1.37 Earths,12.867,2018
3223,K2-183 c,1073,5.9 Earths,12.867,2018
3224,K2-183 d,1073,5.9 Earths,12.867,2018
3225,K2-166 b,1556,5.43 Earths,12.081,2018
3226,K2-167 b,264,6.5 Earths,8.24,2018
3227,K2-168 b,796,4.12 Earths,12.365,2018
3228,K2-169 b,769,2.16 Earths,12.23,2018
3229,K2-16 b,1093,4.74 Earths,14.668,2015
3230,K2-16 c,1093,6.99 Earths,14.668,2015
3231,K2-170 b,1282,2.6 Earths,12.668,2018
3232,K2-170 c,1282,3.9 Earths,12.668,2018
3233,K2-171 b,1977,7.69 Earths,12.745,2018
3234,K2-172 b,815,3.42 Earths,12.5,2018
3235,K2-172 c,815,10.4 Earths,12.5,2018
3236,K2-173 b,746,3.22 Earths,12.523,2018
3237,K2-174 b,326,7.27 Earths,12.456,2018
3238,K2-175 b,807,4.81 Earths,10.836,2018
3239,K2-176 b,807,2.83 Earths,12.909,2018
3240,K2-177 b,1605,5.13 Earths,12.681,2018
3241,K2-178 b,701,12.4 Earths,12.382,2018
3242,K2-179 b,622,6.86 Earths,12.939,2018
3243,K2-17 b,408,5.6 Earths,13.411,2015
3244,K2-180 b,665,11.44182 Earths,12.557,2018
3245,K2-181 b,1177,8.45 Earths,12.669,2018
3246,K2-182 b,505,20 Earths,11.833,2018
3247,K2-183 b,1073,1.37 Earths,12.867,2018
3248,K2-183 c,1073,5.9 Earths,12.867,2018
3249,K2-183 d,1073,5.9 Earths,12.867,2018
3250,K2-184 b,247,2.76 Earths,10.345,2018
3251,K2-185 b,875,1.6 Earths,12.235,2018
3252,K2-185 c,875,6.3 Earths,12.235,2018
3253,K2-186 b,1079,10.2 Earths,12.413,2018
3254,K2-187 b,1079,1.87 Earths,13.102,2018
3255,K2-187 c,1079,2.54 Earths,13.102,2018
3256,K2-187 d,1079,6.35 Earths,13.102,2018
3257,K2-187 e,1079,4.27 Earths,13.102,2018
3258,K2-188 b,1458,2.39 Earths,12.657,2018
3259,K2-188 c,1458,8.4 Earths,12.657,2018
3260,K2-189 b,790,2.92 Earths,12.398,2018
3261,K2-189 c,790,6.8 Earths,12.398,2018
3262,K2-18 b,124,8.92 Earths,13.477,2015
3263,K2-18 c,124,7.51 Earths,13.477,2017
3264,K2-190 b,524,2.41 Earths,11.138,2018
3265,K2-190 c,524,1.34 Earths,11.138,2018
3266,K2-191 b,937,3.12 Earths,13.329,2018
3267,K2-192 b,723,2.92 Earths,12.656,2018
3268,K2-193 b,1344,14.8 Earths,13.341,2018
3269,K2-194 b,2053,12.9 Earths,12.998,2018
3270,K2-195 b,1028,9.96 Earths,12.524,2018
3271,K2-195 c,1028,7.16 Earths,12.524,2018
3272,K2-196 b,1908,12.6 Earths,12.241,2018
3273,K2-197 b,808,7.08 Earths,12.199,2018
3274,K2-198 b,361,16.3 Earths,10.971,2018
3275,K2-184 b,247,2.76 Earths,10.345,2018
3276,K2-185 b,875,1.6 Earths,12.235,2018
3277,K2-185 c,875,6.3 Earths,12.235,2018
3278,K2-186 b,1079,10.2 Earths,12.413,2018
3279,K2-187 b,1079,1.87 Earths,13.102,2018
3280,K2-187 c,1079,2.54 Earths,13.102,2018
3281,K2-187 d,1079,6.35 Earths,13.102,2018
3282,K2-187 e,1079,4.27 Earths,13.102,2018
3283,K2-188 b,1458,2.39 Earths,12.657,2018
3284,K2-188 c,1458,8.4 Earths,12.657,2018
3285,K2-189 b,790,2.92 Earths,12.398,2018
3286,K2-189 c,790,6.8 Earths,12.398,2018
3287,K2-18 b,124,8.92 Earths,13.477,2015
3288,K2-18 c,124,7.51 Earths,13.477,2017
3289,K2-190 b,524,2.41 Earths,11.138,2018
3290,K2-190 c,524,1.34 Earths,11.138,2018
3291,K2-191 b,937,3.12 Earths,13.329,2018
3292,K2-192 b,723,2.92 Earths,12.656,2018
3293,K2-193 b,1344,14.8 Earths,13.341,2018
3294,K2-194 b,2053,12.9 Earths,12.998,2018
3295,K2-195 b,1028,9.96 Earths,12.524,2018
3296,K2-195 c,1028,7.16 Earths,12.524,2018
3297,K2-196 b,1908,12.6 Earths,12.241,2018
3298,K2-197 b,808,7.08 Earths,12.199,2018
3299,K2-198 b,361,16.3 Earths,10.971,2018
3300,K2-198 c,361,2.61 Earths,10.971,2019
3301,K2-198 d,361,6.52 Earths,10.971,2019
3302,K2-199 b,351,6.9 Earths,12.358,2018
3303,K2-199 c,351,12.4 Earths,12.358,2018
3304,K2-19 b,945,32.4 Earths,13.024,2015
3305,K2-19 c,945,10.8 Earths,13.024,2015
3306,K2-19 d,945,10 Earths,13.024,2016
3307,K2-200 b,601,2.43 Earths,12.428,2018
3308,K2-2016-BLG-0005L b,16962,1.1 Jupiters,,2023
3309,K2-201 b,646,2.54 Earths,12.168,2018
3310,K2-201 c,646,10.8 Earths,12.168,2018
3311,K2-202 b,980,5.91 Earths,13.354,2018
3312,K2-203 b,542,2.45 Earths,12.391,2018
3313,K2-204 b,1883,9.51 Earths,12.985,2018
3314,K2-205 b,1322,4.64 Earths,12.45,2018
3315,K2-206 b,797,8.22 Earths,13.084,2018
3316,K2-207 b,1184,7.3 Earths,13.175,2018
3317,K2-208 b,838,3.46 Earths,12.577,2018
3318,K2-209 b,250,0.586 Earths,11.061,2018
3319,K2-210 b,576,0.566 Earths,11.535,2018
3320,K2-211 b,888,2.24 Earths,13.1547,2018
3321,K2-212 b,356,7.51 Earths,12.977,2018
3322,K2-213 b,1271,2.9 Earths,11.803,2018
3323,K2-214 b,981,6.48 Earths,11.806,2018
3324,K2-215 b,1318,5.16 Earths,12.99,2018
3325,K2-216 b,377,8 Earths,12.403,2018
3326,K2-217 b,1246,12.5 Earths,12.264,2018
3327,K2-218 b,1285,7.13 Earths,12.92,2018
3328,K2-219 b,1061,2.38 Earths,12.09,2018
3329,K2-219 c,1061,2.66 Earths,12.09,2018
3330,K2-219 d,1061,7.16 Earths,12.09,2018
3331,K2-21 b,273,4.04 Earths,12.851,2015
3332,K2-21 c,273,6.76 Earths,12.851,2015
3333,K2-220 b,762,6.3 Earths,11.873,2018
3334,K2-221 b,1040,3.46 Earths,12.571,2018
3335,K2-222 b,331,8.7 Earths,9.543,2018
3336,K2-223 b,648,0.64 Earths,11.443,2018
3337,K2-223 c,648,2.86 Earths,11.443,2018
3338,K2-224 b,898,3.05 Earths,12.7,2018
3339,K2-224 c,898,6.39 Earths,12.7,2018
3340,K2-225 b,1167,12 Earths,11.836,2018
3341,K2-226 b,689,2.99 Earths,12.337,2018
3342,K2-227 b,611,3.41 Earths,12.015,2018
3343,K2-228 b,422,1.92 Earths,13.028,2018
3344,K2-229 b,335,2.49 Earths,10.985,2018
3345,K2-229 c,335,21.3 Earths,10.985,2018
3346,K2-22 b,795,1.4 Jupiters,15.565,2015
3347,K2-230 b,1764,4.5 Earths,12.789,2018
3348,K2-231 b,1048,6.8 Earths,12.768,2018
3349,K2-232 b,426,0.398 Jupiters,9.822,2018
3350,K2-233 b,220,11.26 Earths,10.883,2018
3351,K2-233 c,220,12.81 Earths,10.883,2018
3352,K2-233 d,220,21.14 Earths,10.883,2018
3353,K2-237 b,1028,1.363 Jupiters,11.602,2018
3354,K2-238 b,1755,0.86 Jupiters,13.973,2018
3355,K2-239 b,101,1.37 Earths,14.632,2018
3356,K2-239 c,101,0.972 Earths,14.632,2018
3357,K2-239 d,101,1.37 Earths,14.632,2018
3358,K2-240 b,238,4.66 Earths,13.372,2018
3359,K2-240 c,238,3.89 Earths,13.372,2018
3360,K2-241 b,488,7.04 Earths,11.97,2018
3361,K2-242 b,356,6.99 Earths,16.414,2018
3362,K2-243 b,871,5.35 Earths,10.971,2018
3363,K2-243 c,871,4.7 Earths,10.971,2018
3364,K2-244 b,694,3.71 Earths,11.78,2018
3365,K2-245 b,1488,17.4 Earths,12.755,2018
3366,K2-246 b,2295,12 Earths,14.792,2018
3367,K2-247 b,842,5.14 Earths,14.857,2018
3368,K2-247 c,842,5.43 Earths,14.857,2018
3369,K2-248 b,1325,7.13 Earths,13.497,2018
3370,K2-249 b,1702,8.2 Earths,12.646,2018
3371,K2-24 b,556,19 Earths,11.275,2016
3372,K2-24 c,556,15.4 Earths,11.275,2016
3373,K2-250 b,1353,6.53 Earths,14.314,2018
3374,K2-251 b,480,6.12 Earths,15.66,2018
3375,K2-216 b,377,8 Earths,12.403,2018
3376,K2-217 b,1246,12.5 Earths,12.264,2018
3377,K2-218 b,1285,7.13 Earths,12.92,2018
3378,K2-219 b,1061,2.38 Earths,12.09,2018
3379,K2-219 c,1061,2.66 Earths,12.09,2018
3380,K2-219 d,1061,7.16 Earths,12.09,2018
3381,K2-21 b,273,4.04 Earths,12.851,2015
3382,K2-21 c,273,6.76 Earths,12.851,2015
3383,K2-220 b,762,6.3 Earths,11.873,2018
3384,K2-221 b,1040,3.46 Earths,12.571,2018
3385,K2-222 b,331,8.7 Earths,9.543,2018
3386,K2-223 b,648,0.64 Earths,11.443,2018
3387,K2-223 c,648,2.86 Earths,11.443,2018
3388,K2-224 b,898,3.05 Earths,12.7,2018
3389,K2-224 c,898,6.39 Earths,12.7,2018
3390,K2-225 b,1167,12 Earths,11.836,2018
3391,K2-226 b,689,2.99 Earths,12.337,2018
3392,K2-227 b,611,3.41 Earths,12.015,2018
3393,K2-228 b,422,1.92 Earths,13.028,2018
3394,K2-229 b,335,2.49 Earths,10.985,2018
3395,K2-229 c,335,21.3 Earths,10.985,2018
3396,K2-22 b,795,1.4 Jupiters,15.565,2015
3397,K2-230 b,1764,4.5 Earths,12.789,2018
3398,K2-231 b,1048,6.8 Earths,12.768,2018
3399,K2-232 b,426,0.398 Jupiters,9.822,2018
3400,K2-233 b,220,11.26 Earths,10.883,2018
3401,K2-233 c,220,12.81 Earths,10.883,2018
3402,K2-233 d,220,21.14 Earths,10.883,2018
3403,K2-237 b,1028,1.363 Jupiters,11.602,2018
3404,K2-238 b,1755,0.86 Jupiters,13.973,2018
3405,K2-239 b,101,1.37 Earths,14.632,2018
3406,K2-239 c,101,0.972 Earths,14.632,2018
3407,K2-239 d,101,1.37 Earths,14.632,2018
3408,K2-240 b,238,4.66 Earths,13.372,2018
3409,K2-240 c,238,3.89 Earths,13.372,2018
3410,K2-241 b,488,7.04 Earths,11.97,2018
3411,K2-242 b,356,6.99 Earths,16.414,2018
3412,K2-243 b,871,5.35 Earths,10.971,2018
3413,K2-243 c,871,4.7 Earths,10.971,2018
3414,K2-244 b,694,3.71 Earths,11.78,2018
3415,K2-245 b,1488,17.4 Earths,12.755,2018
3416,K2-246 b,2295,12 Earths,14.792,2018
3417,K2-247 b,842,5.14 Earths,14.857,2018
3418,K2-247 c,842,5.43 Earths,14.857,2018
3419,K2-248 b,1325,7.13 Earths,13.497,2018
3420,K2-249 b,1702,8.2 Earths,12.646,2018
3421,K2-24 b,556,19 Earths,11.275,2016
3422,K2-24 c,556,15.4 Earths,11.275,2016
3423,K2-250 b,1353,6.53 Earths,14.314,2018
3424,K2-251 b,480,6.12 Earths,15.66,2018
3425,K2-216 b,377,8 Earths,12.403,2018
3426,K2-217 b,1246,12.5 Earths,12.264,2018
3427,K2-218 b,1285,7.13 Earths,12.92,2018
3428,K2-219 b,1061,2.38 Earths,12.09,2018
3429,K2-219 c,1061,2.66 Earths,12.09,2018
3430,K2-219 d,1061,7.16 Earths,12.09,2018
3431,K2-21 b,273,4.04 Earths,12.851,2015
3432,K2-21 c,273,6.76 Earths,12.851,2015
3433,K2-220 b,762,6.3 Earths,11.873,2018
3434,K2-221 b,1040,3.46 Earths,12.571,2018
3435,K2-222 b,331,8.7 Earths,9.543,2018
3436,K2-223 b,648,0.64 Earths,11.443,2018
3437,K2-223 c,648,2.86 Earths,11.443,2018
3438,K2-224 b,898,3.05 Earths,12.7,2018
3439,K2-224 c,898,6.39 Earths,12.7,2018
3440,K2-225 b,1167,12 Earths,11.836,2018
3441,K2-226 b,689,2.99 Earths,12.337,2018
3442,K2-227 b,611,3.41 Earths,12.015,2018
3443,K2-228 b,422,1.92 Earths,13.028,2018
3444,K2-229 b,335,2.49 Earths,10.985,2018
3445,K2-229 c,335,21.3 Earths,10.985,2018
3446,K2-22 b,795,1.4 Jupiters,15.565,2015
3447,K2-230 b,1764,4.5 Earths,12.789,2018
3448,K2-231 b,1048,6.8 Earths,12.768,2018
3449,K2-232 b,426,0.398 Jupiters,9.822,2018
3450,K2-233 b,220,11.26 Earths,10.883,2018
3451,K2-233 c,220,12.81 Earths,10.883,2018
3452,K2-233 d,220,21.14 Earths,10.883,2018
3453,K2-237 b,1028,1.363 Jupiters,11.602,2018
3454,K2-238 b,1755,0.86 Jupiters,13.973,2018
3455,K2-239 b,101,1.37 Earths,14.632,2018
3456,K2-239 c,101,0.972 Earths,14.632,2018
3457,K2-239 d,101,1.37 Earths,14.632,2018
3458,K2-240 b,238,4.66 Earths,13.372,2018
3459,K2-240 c,238,3.89 Earths,13.372,2018
3460,K2-241 b,488,7.04 Earths,11.97,2018
3461,K2-242 b,356,6.99 Earths,16.414,2018
3462,K2-243 b,871,5.35 Earths,10.971,2018
3463,K2-243 c,871,4.7 Earths,10.971,2018
3464,K2-244 b,694,3.71 Earths,11.78,2018
3465,K2-245 b,1488,17.4 Earths,12.755,2018
3466,K2-246 b,2295,12 Earths,14.792,2018
3467,K2-247 b,842,5.14 Earths,14.857,2018
3468,K2-247 c,842,5.43 Earths,14.857,2018
3469,K2-248 b,1325,7.13 Earths,13.497,2018
3470,K2-249 b,1702,8.2 Earths,12.646,2018
3471,K2-24 b,556,19 Earths,11.275,2016
3472,K2-24 c,556,15.4 Earths,11.275,2016
3473,K2-250 b,1353,6.53 Earths,14.314,2018
3474,K2-251 b,480,6.12 Earths,15.66,2018
3475,K2-216 b,377,8 Earths,12.403,2018
3476,K2-217 b,1246,12.5 Earths,12.264,2018
3477,K2-218 b,1285,7.13 Earths,12.92,2018
3478,K2-219 b,1061,2.38 Earths,12.09,2018
3479,K2-219 c,1061,2.66 Earths,12.09,2018
3480,K2-219 d,1061,7.16 Earths,12.09,2018
3481,K2-21 b,273,4.04 Earths,12.851,2015
3482,K2-21 c,273,6.76 Earths,12.851,2015
3483,K2-220 b,762,6.3 Earths,11.873,2018
3484,K2-221 b,1040,3.46 Earths,12.571,2018
3485,K2-222 b,331,8.7 Earths,9.543,2018
3486,K2-223 b,648,0.64 Earths,11.443,2018
3487,K2-223 c,648,2.86 Earths,11.443,2018
3488,K2-224 b,898,3.05 Earths,12.7,2018
3489,K2-224 c,898,6.39 Earths,12.7,2018
3490,K2-225 b,1167,12 Earths,11.836,2018
3491,K2-226 b,689,2.99 Earths,12.337,2018
3492,K2-227 b,611,3.41 Earths,12.015,2018
3493,K2-228 b,422,1.92 Earths,13.028,2018
3494,K2-229 b,335,2.49 Earths,10.985,2018
3495,K2-229 c,335,21.3 Earths,10.985,2018
3496,K2-22 b,795,1.4 Jupiters,15.565,2015
3497,K2-230 b,1764,4.5 Earths,12.789,2018
3498,K2-231 b,1048,6.8 Earths,12.768,2018
3499,K2-232 b,426,0.398 Jupiters,9.822,2018
3500,K2-233 b,220,11.26 Earths,10.883,2018
3501,K2-233 c,220,12.81 Earths,10.883,2018
3502,K2-233 d,220,21.14 Earths,10.883,2018
3503,K2-237 b,1028,1.363 Jupiters,11.602,2018
3504,K2-238 b,1755,0.86 Jupiters,13.973,2018
3505,K2-239 b,101,1.37 Earths,14.632,2018
3506,K2-239 c,101,0.972 Earths,14.632,2018
